product_id,product_category,product_price,product_manufacturing_date,product_expiry_date
P001,Electronics,299.99,2024-01-15,2026-01-15
P002,Food,12.50,2024-11-01,2024-12-15
P003,Clothing,45.00,2024-06-20,2026-06-20
P004,Electronics,899.99,2024-03-10,2027-03-10
P005,Food,8.75,2024-11-15,2024-12-30
P006,Home & Kitchen,67.50,2024-05-25,2029-05-25
P007,Electronics,1299.99,2024-02-14,2026-02-14
P008,Food,15.99,2024-11-20,2025-01-20
P009,Clothing,89.99,2024-07-30,2026-07-30
P010,Home & Kitchen,34.99,2024-08-12,2028-08-12
P011,Electronics,549.00,2024-04-18,2026-04-18
P012,Food,6.25,2024-11-25,2024-12-25
P013,Clothing,120.00,2024-09-05,2026-09-05
P014,Food,22.50,2024-11-10,2025-02-10
P015,Electronics,199.99,2024-01-30,2026-01-30
P016,Home & Kitchen,89.00,2024-10-15,2029-10-15
P017,Clothing,55.50,2024-06-08,2026-06-08
P018,Food,18.99,2024-11-28,2025-01-28
P019,Electronics,399.99,2024-05-22,2026-05-22
P020,Home & Kitchen,125.00,2024-07-19,2028-07-19
